Date,AAPL,GOOGL
2018-10-09,222.2072296142578,1145.1700439453125
2018-10-10,211.9132080078125,1092.1600341796875
2018-10-11,210.04248046875,1090.739990234375
2018-10-12,217.5450439453125,1120.5400390625
2018-10-15,212.8926544189453,1102.43994140625
2018-10-16,217.58421325683594,1133.0799560546875
2018-10-17,216.6439666748047,1127.5899658203125
2018-10-18,211.5802001953125,1097.9100341796875
2018-10-19,214.8025665283203,1105.1800537109375
2018-10-22,216.1150360107422,1111.3699951171875
2018-10-23,218.1522979736328,1114.9100341796875
2018-10-24,210.66932678222656,1057.1199951171875
2018-10-25,215.2825164794922,1103.5899658203125
2018-10-26,211.85446166992188,1083.75
2018-10-29,207.87789916992188,1034.72998046875
2018-10-30,208.91612243652344,1049.510009765625
2018-10-31,214.36184692382812,1090.5799560546875
2018-11-01,217.6527862548828,1085.97998046875
2018-11-02,203.21571350097656,1071.489990234375
2018-11-05,197.44676208496094,1055.72998046875
2018-11-06,199.5819854736328,1069.5699462890625
2018-11-07,205.63494873046875,1108.239990234375
2018-11-08,204.91748046875,1094.6300048828125
2018-11-09,200.96633911132812,1077.02001953125
2018-11-12,190.8428497314453,1049.3599853515625
2018-11-13,188.9360809326172,1047.969970703125
2018-11-14,183.59915161132812,1054.5799560546875
2018-11-15,188.13014221191406,1071.050048828125
2018-11-16,190.21380615234375,1068.27001953125
2018-11-19,182.6752471923828,1027.4200439453125
2018-11-20,173.94741821289062,1030.449951171875
2018-11-21,173.75083923339844,1043.4300537109375
2018-11-23,169.3377685546875,1030.0999755859375
2018-11-26,171.62783813476562,1055.93994140625
2018-11-27,171.25436401367188,1052.280029296875
2018-11-28,177.8395538330078,1091.7900390625
2018-11-29,176.47335815429688,1094.5799560546875
2018-11-30,175.51998901367188,1109.6500244140625
2018-12-03,181.653076171875,1116.3599853515625
2018-12-04,173.66236877441406,1062.469970703125
2018-12-06,171.72613525390625,1078.0799560546875
2018-12-07,165.6029052734375,1046.5799560546875
2018-12-10,166.69386291503906,1053.1800537109375
2018-12-11,165.74049377441406,1061.6500244140625
2018-12-12,166.2024383544922,1073.72998046875
2018-12-13,168.02072143554688,1073.5400390625
2018-12-14,162.64443969726562,1051.7099609375
2018-12-17,161.130859375,1025.6500244140625
2018-12-18,163.224365234375,1043.4100341796875
2018-12-19,158.1331024169922,1035.4599609375
2018-12-20,154.14266967773438,1023.5800170898438
2018-12-21,148.14720153808594,991.25
2018-12-24,144.3140411376953,984.6699829101562
2018-12-26,154.4768524169922,1047.8499755859375
2018-12-27,153.47433471679688,1052.9000244140625
2018-12-28,153.552978515625,1046.6800537109375
2018-12-31,155.037109375,1044.9599609375
2019-01-02,155.21400451660156,1054.6800537109375
2019-01-03,139.7535400390625,1025.469970703125
2019-01-04,145.71951293945312,1078.0699462890625
2019-01-07,145.39520263671875,1075.9200439453125
2019-01-08,148.1668701171875,1085.3699951171875
2019-01-09,150.6829833984375,1081.6500244140625
2019-01-10,151.1646270751953,1078.8299560546875
2019-01-11,149.6804656982422,1064.469970703125
2019-01-14,147.42971801757812,1051.510009765625
2019-01-15,150.44712829589844,1086.510009765625
2019-01-16,152.2850799560547,1089.510009765625
2019-01-17,153.18930053710938,1099.1199951171875
2019-01-18,154.1328582763672,1107.300048828125
2019-01-22,150.6731719970703,1078.6300048828125
2019-01-23,151.2825469970703,1084.4100341796875
2019-01-24,150.08343505859375,1084.0
2019-01-25,155.05674743652344,1101.510009765625
2019-01-28,153.62176513671875,1079.8599853515625
2019-01-29,152.02951049804688,1070.06005859375
2019-01-30,162.4184112548828,1097.989990234375
2019-01-31,163.58799743652344,1125.8900146484375
2019-02-01,163.66664123535156,1118.6199951171875
2019-02-04,168.31558227539062,1141.4200439453125
2019-02-05,171.1953887939453,1151.8699951171875
2019-02-06,171.25436401367188,1122.8900146484375
2019-02-07,168.0109100341797,1105.9100341796875
2019-02-08,168.2083282470703,1102.3800048828125
2019-02-11,167.240966796875,1102.1199951171875
2019-02-12,168.68211364746094,1127.5799560546875
2019-02-13,167.9812774658203,1128.6300048828125
2019-02-14,168.59329223632812,1129.199951171875
2019-02-15,168.21820068359375,1119.6300048828125
2019-02-19,168.72158813476562,1126.510009765625
2019-02-20,169.80738830566406,1120.5899658203125
2019-02-21,168.8499298095703,1104.2099609375
2019-02-22,170.7352294921875,1116.56005859375
2019-02-25,171.9789581298828,1117.3299560546875
2019-02-26,172.07766723632812,1122.010009765625
2019-02-27,172.61068725585938,1122.8900146484375
2019-02-28,170.9129180908203,1126.550048828125
2019-03-01,172.70938110351562,1148.52001953125
2019-03-04,173.57803344726562,1153.4200439453125
2019-03-05,173.2621612548828,1169.18994140625
2019-03-06,172.26522827148438,1164.93994140625
2019-03-07,170.2713165283203,1150.8499755859375
2019-03-08,170.676025390625,1149.969970703125
2019-03-11,176.58860778808594,1179.260009765625
2019-03-12,178.57266235351562,1197.25
2019-03-13,179.36231994628906,1199.06005859375
2019-03-14,181.35621643066406,1192.530029296875
2019-03-15,183.71533203125,1190.300048828125
2019-03-18,185.59080505371094,1188.550048828125
2019-03-19,184.12005615234375,1202.4599609375
2019-03-20,185.72898864746094,1226.4300537109375
2019-03-21,192.56942749023438,1236.1300048828125
2019-03-22,188.58164978027344,1207.6500244140625
2019-03-25,186.30148315429688,1197.3800048828125
2019-03-26,184.37667846679688,1189.8399658203125
2019-03-27,186.03497314453125,1178.010009765625
2019-03-28,186.28173828125,1172.27001953125
2019-03-29,187.49586486816406,1176.8900146484375
2019-04-01,188.7692108154297,1198.97998046875
